date,open,high,low,close,volume,amount,outstanding_share,turnover,factor_momentum_5d,factor_momentum_20d,factor_momentum_60d,factor_reversal_1d,factor_reversal_5d,factor_volatility_20d,factor_volatility_60d,factor_rsi_14d,factor_rsi_30d,factor_ma_ratio_20d,factor_ma_ratio_60d,factor_volume_ratio_20d,factor_price_volume_corr_20d,factor_price_position_20d,factor_amplitude_1d,factor_amplitude_20d,factor_gap_up,factor_gap_down,factor_macd
2025-01-03,15.08,15.69,15.05,15.35,312488466.0,4898067955.0,20557035536.0,0.015201047128257492,-0.0032467532467532756,0.00589777195281771,-0.10233918128654984,-0.026069518716577367,0.0032467532467532756,0.2909016902948044,0.285950542213598,50.0,45.32258064516129,0.0008802529912301793,-0.04307711489308652,1.1686756969036072,-0.19931500627259433,0.3725490196078435,0.04169381107491849,0.02444098293804673,0.008021390374331583,0.0,-0.16509018752098115
2025-01-06,15.45,15.63,15.11,15.27,225283187.0,3516450288.0,20557035536.0,0.01095893357801899,0.012599469496021198,-0.012289780077619716,-0.1012360211889346,0.005211726384364845,-0.012599469496021198,0.2875832680517875,0.28587403340624573,52.380952380952365,47.7891156462585,-0.003718927383049686,-0.04636009742490177,0.5174433975788324,-0.1707933073948211,0.320261437908497,0.034053700065487975,0.025108739092679477,0.006514657980456029,0.0,-0.14878122843852282
2025-01-07,15.33,15.82,15.18,15.79,229893314.0,3655875985.0,20557035536.0,0.011183193880139237,0.03067885117493474,0.008945686900958316,-0.09357060849598176,-0.03405370006548791,-0.03067885117493474,0.3098932516261843,0.2899251075417351,58.33333333333332,53.70967741935484,0.029737837485326768,-0.012209235645546435,0.5023156287667401,-0.16758169763080732,0.6601307189542485,0.04053198226725779,0.025921280698055143,0.003929273084479323,0.0,-0.09297736867737605
2025-01-08,15.79,15.94,15.51,15.62,176843669.0,2815392400.0,20557035536.0,0.008602586140900856,0.04832214765100673,-0.013265950726468745,-0.07464454976303314,0.010766307789740304,-0.04832214765100673,0.3096095399065457,0.2840292279003773,55.01432664756447,52.35849056603773,0.01934936535386833,-0.021558699170016293,0.16128844054964597,-0.1695816524260959,0.6176470588235288,0.027528809218950047,0.025592098922742383,0.0,0.0,-0.06171371276281157
2025-01-09,15.68,15.8,15.49,15.69,134299826.0,2132733325.0,20557035536.0,0.006533034676367162,0.048796791443850074,-0.012586532410321039,-0.0877906976744186,-0.004481434058898781,-0.048796791443850074,0.3097458611974694,0.2811906249260278,58.70206489675517,51.904761904761905,0.0245861494759525,-0.015622059100319996,-0.11443450388487286,-0.17102917261264539,0.7165354330708655,0.019757807520713863,0.0256045330369782,0.003841229193341844,0.0,-0.03095017324703342
2025-01-10,15.86,16.1,15.64,15.92,195551711.0,3158715409.0,20557035536.0,0.00951264157993719,0.037133550488599454,-0.0056214865708933415,-0.05743043220840738,-0.014659018483110353,-0.037133550488599454,0.3131898536716209,0.28090328213645477,66.86746987951807,54.77308294209701,0.03991116336795342,-0.00017794153050643136,0.2502772831650204,-0.10889522377061875,0.8636363636363628,0.028894472361809097,0.026455877517029925,0.010834926704907488,0.0,0.0117987599126117
2025-01-13,15.91,16.42,15.8,16.16,237723203.0,3905138856.0,20557035536.0,0.011564079975621637,0.058284217419777296,0.05276872964169388,-0.07019562715765237,-0.015075376884422065,-0.058284217419777296,0.27677550634308423,0.2759886182513941,64.16938110749187,55.3323029366306,0.05280302289976868,0.016192422575066923,0.5017042705123365,0.23215598057619144,0.8414634146341456,0.03836633663366343,0.02700611617281733,0.0,-0.0006281407035175768,0.06424982205583518
2025-01-14,16.06,16.24,15.82,16.17,180089819.0,2933492770.0,20557035536.0,0.008760495582382108,0.024065864471184417,0.06873760740251167,-0.09966592427616916,-0.0006188118811882859,-0.024065864471184417,0.26955338702397674,0.26653468708475453,62.83783783783786,56.535433070866155,0.04989773723338664,0.018732412113066532,0.1193413779513759,0.17975159289464218,0.8475609756097563,0.025974025974025858,0.02724731581917229,0.0,-0.006188118811881305,0.10540586538757424
2025-01-15,16.11,16.16,15.31,15.55,327946407.0,5211318615.0,20557035536.0,0.015953000928839764,-0.004481434058898781,0.02101116217990806,-0.12591343451377168,0.0383426097711812,0.004481434058898781,0.30719899664790506,0.27655199373260175,53.60230547550432,51.15606936416186,0.008594130047024695,-0.018018776575590367,0.914430819649293,-0.08233635712648413,0.46951219512195136,0.05466237942122184,0.028929876681237986,0.0,-0.0037105751391467434,0.0871028815640571
2025-01-16,15.8,16.07,15.8,15.94,220764301.0,3573654017.0,20557035536.0,0.010739111707687229,0.015933715742511234,0.04387688277668622,-0.09380329732802728,-0.025080385852090048,-0.015933715742511234,0.31868893918137675,0.28139410478656623,57.18085106382977,52.594670406732114,0.031648436994369256,0.008360833763851216,0.23626827597421607,-0.151946933262554,0.7073170731707308,0.01693851944792971,0.029023691979109256,0.016077170418006492,0.0,0.10281533591295755
